# file...... out_house.csv
# date...... Sun Feb 17 16:30:01 2019
# user...... dpinney
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint[degF],air_temperature[degF],outdoor_temperature[degF]
2012-01-01 00:00:00 UTC,+3.13732,+1.25637,+65,+71.22,+33.982
2012-01-01 00:01:00 UTC,+3.13633,+1.25656,+65,+70.5758,+33.9434
2012-01-01 00:02:00 UTC,+3.13537,+1.25675,+65,+70.0255,+33.9056
2012-01-01 00:03:00 UTC,+3.13443,+1.25693,+65,+69.5535,+33.8686
2012-01-01 00:04:00 UTC,+3.13352,+1.25711,+65,+69.1471,+33.8324
2012-01-01 00:05:00 UTC,+3.13262,+1.25728,+65,+68.7955,+33.797
2012-01-01 00:06:00 UTC,+3.13174,+1.25745,+65,+68.9918,+33.7624
2012-01-01 00:07:00 UTC,+3.13089,+1.25762,+65,+69.1463,+33.7286
2012-01-01 00:08:00 UTC,+3.13005,+1.25778,+65,+69.2733,+33.6956
2012-01-01 00:09:00 UTC,+3.12924,+1.25794,+65,+69.3772,+33.6634
2012-01-01 00:10:00 UTC,+3.12844,+1.25809,+65,+69.4618,+33.632
2012-01-01 00:11:00 UTC,+3.12767,+1.25824,+65,+69.5302,+33.6014
2012-01-01 00:12:00 UTC,+3.12692,+1.25839,+65,+69.5852,+33.5716
2012-01-01 00:13:00 UTC,+3.12619,+1.25853,+65,+69.6289,+33.5426
2012-01-01 00:14:00 UTC,+3.12548,+1.25867,+65,+69.6631,+33.5144
2012-01-01 00:15:00 UTC,+3.12479,+1.25881,+65,+69.6895,+33.487
2012-01-01 00:16:00 UTC,+3.12412,+1.25894,+65,+69.7093,+33.4604
2012-01-01 00:17:00 UTC,+3.12347,+1.25906,+65,+69.7236,+33.4346
2012-01-01 00:18:00 UTC,+3.12284,+1.25919,+65,+69.7333,+33.4096
2012-01-01 00:19:00 UTC,+3.12223,+1.25931,+65,+69.7391,+33.3854
2012-01-01 00:20:00 UTC,+3.12164,+1.25942,+65,+69.7417,+33.362
2012-01-01 00:21:00 UTC,+3.12108,+1.25953,+65,+69.7417,+33.3394
2012-01-01 00:22:00 UTC,+3.12053,+1.25964,+65,+69.7394,+33.3176
2012-01-01 00:23:00 UTC,+3.12,+1.25974,+65,+69.7352,+33.2966
2012-01-01 00:24:00 UTC,+3.11949,+1.25984,+65,+69.7294,+33.2764
2012-01-01 00:25:00 UTC,+3.11901,+1.25994,+65,+69.7224,+33.257
2012-01-01 00:26:00 UTC,+3.11854,+1.26003,+65,+69.7143,+33.2384
2012-01-01 00:27:00 UTC,+3.1181,+1.26012,+65,+69.7052,+33.2206
2012-01-01 00:28:00 UTC,+3.11767,+1.2602,+65,+69.6955,+33.2036
2012-01-01 00:29:00 UTC,+3.11726,+1.26028,+65,+69.6851,+33.1874
2012-01-01 00:30:00 UTC,+3.11688,+1.26036,+65,+69.6741,+33.172
2012-01-01 00:31:00 UTC,+3.11651,+1.26043,+65,+69.6628,+33.1574
2012-01-01 00:32:00 UTC,+3.11617,+1.2605,+65,+69.6511,+33.1436
2012-01-01 00:33:00 UTC,+3.11584,+1.26056,+65,+69.6391,+33.1306
2012-01-01 00:34:00 UTC,+3.11554,+1.26062,+65,+69.6268,+33.1184
2012-01-01 00:35:00 UTC,+3.11525,+1.26068,+65,+69.6144,+33.107
2012-01-01 00:36:00 UTC,+3.11499,+1.26073,+65,+69.6018,+33.0964
2012-01-01 00:37:00 UTC,+3.11474,+1.26078,+65,+69.589,+33.0866
2012-01-01 00:38:00 UTC,+3.11452,+1.26082,+65,+69.5762,+33.0776
2012-01-01 00:39:00 UTC,+3.11431,+1.26086,+65,+69.5633,+33.0694
2012-01-01 00:40:00 UTC,+3.11413,+1.2609,+65,+69.5503,+33.062
2012-01-01 00:41:00 UTC,+3.11396,+1.26093,+65,+69.5372,+33.0554
