# file...... out_house.csv
# date...... Sun Feb 17 16:30:01 2019
# user...... dpinney
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint[degF],air_temperature[degF],outdoor_temperature[degF]
2012-01-01 00:42:00 UTC,+3.11382,+1.26096,+65,+69.5241,+33.0496
2012-01-01 00:43:00 UTC,+3.11369,+1.26098,+65,+69.511,+33.0446
2012-01-01 00:44:00 UTC,+3.11359,+1.261,+65,+69.4979,+33.0404
2012-01-01 00:45:00 UTC,+3.1135,+1.26102,+65,+69.4848,+33.037
2012-01-01 00:46:00 UTC,+3.11344,+1.26103,+65,+69.4716,+33.0344
2012-01-01 00:47:00 UTC,+3.11339,+1.26104,+65,+69.4585,+33.0326
2012-01-01 00:48:00 UTC,+3.11337,+1.26105,+65,+69.4454,+33.0316
2012-01-01 00:49:00 UTC,+3.11336,+1.26105,+65,+69.4323,+33.0314
2012-01-01 00:50:00 UTC,+3.11338,+1.26105,+65,+69.4192,+33.032
2012-01-01 00:51:00 UTC,+3.11341,+1.26104,+65,+69.4061,+33.0334
2012-01-01 00:52:00 UTC,+3.11347,+1.26103,+65,+69.393,+33.0356
2012-01-01 00:53:00 UTC,+3.11354,+1.26101,+65,+69.38,+33.0386
2012-01-01 00:54:00 UTC,+3.11364,+1.261,+65,+69.367,+33.0424
2012-01-01 00:55:00 UTC,+3.11375,+1.26097,+65,+69.354,+33.047
2012-01-01 00:56:00 UTC,+3.11389,+1.26095,+65,+69.341,+33.0524
2012-01-01 00:57:00 UTC,+3.11404,+1.26092,+65,+69.3281,+33.0586
2012-01-01 00:58:00 UTC,+3.11422,+1.26088,+65,+69.3152,+33.0656
2012-01-01 00:59:00 UTC,+3.11441,+1.26084,+65,+69.3023,+33.0734
2012-01-01 01:00:00 UTC,+3.11463,+1.2608,+65,+69.2895,+33.082
2012-01-01 01:01:00 UTC,+3.11608,+1.26051,+65,+69.2767,+33.1401
2012-01-01 01:02:00 UTC,+3.11751,+1.26023,+65,+69.2642,+33.1973
2012-01-01 01:03:00 UTC,+3.11892,+1.25995,+65,+69.2519,+33.2537
2012-01-01 01:04:00 UTC,+3.12032,+1.25968,+65,+69.2398,+33.3092
2012-01-01 01:05:00 UTC,+3.12169,+1.25941,+65,+69.2279,+33.3639
2012-01-01 01:06:00 UTC,+3.12304,+1.25915,+65,+69.2159,+33.4177
2012-01-01 01:07:00 UTC,+3.12438,+1.25889,+65,+69.1991,+33.4707
2012-01-01 01:08:00 UTC,+3.12569,+1.25863,+65,+69.183,+33.5228
2012-01-01 01:09:00 UTC,+3.12698,+1.25838,+65,+69.1676,+33.5741
2012-01-01 01:10:00 UTC,+3.12826,+1.25813,+65,+69.1528,+33.6245
2012-01-01 01:11:00 UTC,+3.12951,+1.25789,+65,+69.1383,+33.6741
2012-01-01 01:12:00 UTC,+3.13074,+1.25765,+65,+69.1242,+33.7228
2012-01-01 01:13:00 UTC,+3.13195,+1.25741,+65,+69.1105,+33.7707
2012-01-01 01:14:00 UTC,+3.13314,+1.25718,+65,+69.097,+33.8177
2012-01-01 01:15:00 UTC,+3.13431,+1.25695,+65,+69.0837,+33.8639
2012-01-01 01:16:00 UTC,+3.13547,+1.25673,+65,+69.0706,+33.9092
2012-01-01 01:17:00 UTC,+3.1366,+1.25651,+65,+69.0577,+33.9537
2012-01-01 01:18:00 UTC,+3.1377,+1.25629,+65,+69.0449,+33.9973
2012-01-01 01:19:00 UTC,+3.13879,+1.25608,+65,+69.0322,+34.0401
2012-01-01 01:20:00 UTC,+3.13986,+1.25588,+65,+69.0196,+34.082
2012-01-01 01:21:00 UTC,+3.14091,+1.25567,+65,+69.0071,+34.1231
2012-01-01 01:22:00 UTC,+3.14193,+1.25548,+65,+68.9947,+34.1633
2012-01-01 01:23:00 UTC,+3.14294,+1.25528,+65,+68.9823,+34.2027
2012-01-01 01:24:00 UTC,+3.14392,+1.25509,+65,+68.97,+34.2412
2012-01-01 01:25:00 UTC,+3.14489,+1.25491,+65,+68.9577,+34.2789
2012-01-01 01:26:00 UTC,+3.14583,+1.25473,+65,+68.9455,+34.3157
2012-01-01 01:27:00 UTC,+3.14675,+1.25455,+65,+68.9333,+34.3517
2012-01-01 01:28:00 UTC,+3.14765,+1.25438,+65,+68.9211,+34.3868
2012-01-01 01:29:00 UTC,+3.14853,+1.25421,+65,+68.9089,+34.4211
2012-01-01 01:30:00 UTC,+3.14939,+1.25404,+65,+68.8968,+34.4545
2012-01-01 01:31:00 UTC,+3.15022,+1.25388,+65,+68.8847,+34.4871
2012-01-01 01:32:00 UTC,+3.15104,+1.25373,+65,+68.8725,+34.5188
2012-01-01 01:33:00 UTC,+3.15183,+1.25357,+65,+68.8604,+34.5497
2012-01-01 01:34:00 UTC,+3.15261,+1.25343,+65,+68.8484,+34.5797
2012-01-01 01:35:00 UTC,+3.15336,+1.25328,+65,+68.8363,+34.6089
2012-01-01 01:36:00 UTC,+3.15409,+1.25314,+65,+68.8242,+34.6372
2012-01-01 01:37:00 UTC,+3.1548,+1.25301,+65,+68.8121,+34.6647
2012-01-01 01:38:00 UTC,+3.15548,+1.25288,+65,+68.8001,+34.6913
2012-01-01 01:39:00 UTC,+3.15615,+1.25275,+65,+68.788,+34.7171
2012-01-01 01:40:00 UTC,+3.15679,+1.25263,+65,+68.776,+34.742
2012-01-01 01:41:00 UTC,+3.15741,+1.25251,+65,+68.7639,+34.7661
2012-01-01 01:42:00 UTC,+3.15801,+1.25239,+65,+68.7519,+34.7893
2012-01-01 01:43:00 UTC,+3.15859,+1.25228,+65,+68.7398,+34.8117
2012-01-01 01:44:00 UTC,+3.15915,+1.25218,+65,+68.7277,+34.8332
2012-01-01 01:45:00 UTC,+3.15968,+1.25208,+65,+68.7157,+34.8539
2012-01-01 01:46:00 UTC,+3.16019,+1.25198,+65,+68.7036,+34.8737
2012-01-01 01:47:00 UTC,+3.16069,+1.25189,+65,+68.6916,+34.8927
2012-01-01 01:48:00 UTC,+3.16116,+1.2518,+65,+68.6795,+34.9108
2012-01-01 01:49:00 UTC,+3.1616,+1.25171,+65,+68.6674,+34.9281
2012-01-01 01:50:00 UTC,+3.16203,+1.25163,+65,+68.6554,+34.9445
2012-01-01 01:51:00 UTC,+3.16243,+1.25155,+65,+68.6433,+34.9601
2012-01-01 01:52:00 UTC,+3.16281,+1.25148,+65,+68.6312,+34.9748
2012-01-01 01:53:00 UTC,+3.16317,+1.25141,+65,+68.6191,+34.9887
2012-01-01 01:54:00 UTC,+3.16351,+1.25135,+65,+68.607,+35.0017
2012-01-01 01:55:00 UTC,+3.16383,+1.25129,+65,+68.5949,+35.0139
2012-01-01 01:56:00 UTC,+3.16412,+1.25123,+65,+68.5828,+35.0252
2012-01-01 01:57:00 UTC,+3.16439,+1.25118,+65,+68.5707,+35.0357
2012-01-01 01:58:00 UTC,+3.16464,+1.25113,+65,+68.5586,+35.0453
2012-01-01 01:59:00 UTC,+3.16487,+1.25109,+65,+68.5464,+35.0541
2012-01-01 02:00:00 UTC,+3.16508,+1.25105,+65,+68.5343,+35.062
2012-01-01 02:01:00 UTC,+3.16545,+1.25098,+65,+68.5221,+35.0764
2012-01-01 02:02:00 UTC,+3.1658,+1.25092,+65,+68.51,+35.0898
2012-01-01 02:03:00 UTC,+3.16612,+1.25086,+65,+68.4979,+35.102
2012-01-01 02:04:00 UTC,+3.16641,+1.2508,+65,+68.4858,+35.1132
2012-01-01 02:05:00 UTC,+3.16667,+1.25075,+65,+68.4737,+35.1232
2012-01-01 02:06:00 UTC,+3.1669,+1.25071,+65,+68.4613,+35.1322
2012-01-01 02:07:00 UTC,+3.16711,+1.25067,+65,+68.4463,+35.14
2012-01-01 02:08:00 UTC,+3.16728,+1.25063,+65,+68.4316,+35.1468
2012-01-01 02:09:00 UTC,+3.16743,+1.25061,+65,+68.4173,+35.1524
2012-01-01 02:10:00 UTC,+3.16755,+1.25058,+65,+68.4032,+35.157
2012-01-01 02:11:00 UTC,+3.16764,+1.25057,+65,+68.3893,+35.1604
2012-01-01 02:12:00 UTC,+3.1677,+1.25056,+65,+68.3755,+35.1628
2012-01-01 02:13:00 UTC,+3.16773,+1.25055,+65,+68.3619,+35.164
2012-01-01 02:14:00 UTC,+3.16774,+1.25055,+65,+68.3484,+35.1642
2012-01-01 02:15:00 UTC,+3.16771,+1.25055,+65,+68.335,+35.1632
2012-01-01 02:16:00 UTC,+3.16766,+1.25056,+65,+68.3216,+35.1612
2012-01-01 02:17:00 UTC,+3.16758,+1.25058,+65,+68.3084,+35.158
2012-01-01 02:18:00 UTC,+3.16747,+1.2506,+65,+68.2951,+35.1538
2012-01-01 02:19:00 UTC,+3.16733,+1.25063,+65,+68.2819,+35.1484
2012-01-01 02:20:00 UTC,+3.16716,+1.25066,+65,+68.2687,+35.142
2012-01-01 02:21:00 UTC,+3.16696,+1.2507,+65,+68.2555,+35.1344
2012-01-01 02:22:00 UTC,+3.16674,+1.25074,+65,+68.2423,+35.1258
2012-01-01 02:23:00 UTC,+3.16648,+1.25079,+65,+68.2291,+35.116
2012-01-01 02:24:00 UTC,+3.1662,+1.25084,+65,+68.2159,+35.1052
2012-01-01 02:25:00 UTC,+3.16589,+1.2509,+65,+68.2026,+35.0932
2012-01-01 02:26:00 UTC,+3.16555,+1.25096,+65,+68.1894,+35.0802
2012-01-01 02:27:00 UTC,+3.16518,+1.25103,+65,+68.1762,+35.066
2012-01-01 02:28:00 UTC,+3.16479,+1.25111,+65,+68.1629,+35.0508
2012-01-01 02:29:00 UTC,+3.16436,+1.25119,+65,+68.1496,+35.0344
2012-01-01 02:30:00 UTC,+3.16391,+1.25127,+65,+68.1363,+35.017
2012-01-01 02:31:00 UTC,+3.16343,+1.25137,+65,+68.123,+34.9984
2012-01-01 02:32:00 UTC,+3.16292,+1.25146,+65,+68.1096,+34.9788
2012-01-01 02:33:00 UTC,+3.16238,+1.25156,+65,+68.0962,+34.958
2012-01-01 02:34:00 UTC,+3.16181,+1.25167,+65,+68.0828,+34.9362
2012-01-01 02:35:00 UTC,+3.16122,+1.25178,+65,+68.0693,+34.9132
2012-01-01 02:36:00 UTC,+3.1606,+1.2519,+65,+68.0558,+34.8892
2012-01-01 02:37:00 UTC,+3.15994,+1.25203,+65,+68.0423,+34.864
2012-01-01 02:38:00 UTC,+3.15927,+1.25216,+65,+68.0287,+34.8378
2012-01-01 02:39:00 UTC,+3.15856,+1.25229,+65,+68.0151,+34.8104
2012-01-01 02:40:00 UTC,+3.15782,+1.25243,+65,+68.0015,+34.782
2012-01-01 02:41:00 UTC,+3.15706,+1.25258,+65,+67.9878,+34.7524
2012-01-01 02:42:00 UTC,+3.15627,+1.25273,+65,+67.9741,+34.7218
2012-01-01 02:43:00 UTC,+3.15545,+1.25288,+65,+67.9604,+34.69
2012-01-01 02:44:00 UTC,+3.1546,+1.25305,+65,+67.9466,+34.6572
2012-01-01 02:45:00 UTC,+3.15373,+1.25321,+65,+67.9327,+34.6232
2012-01-01 02:46:00 UTC,+3.15283,+1.25338,+65,+67.9188,+34.5882
2012-01-01 02:47:00 UTC,+3.1519,+1.25356,+65,+67.9049,+34.552
2012-01-01 02:48:00 UTC,+3.15094,+1.25375,+65,+67.891,+34.5148
2012-01-01 02:49:00 UTC,+3.14995,+1.25393,+65,+67.877,+34.4764
2012-01-01 02:50:00 UTC,+3.14894,+1.25413,+65,+67.8629,+34.437
2012-01-01 02:51:00 UTC,+3.1479,+1.25433,+65,+67.8488,+34.3964
2012-01-01 02:52:00 UTC,+3.14683,+1.25453,+65,+67.8347,+34.3548
2012-01-01 02:53:00 UTC,+3.14574,+1.25474,+65,+67.8205,+34.312
2012-01-01 02:54:00 UTC,+3.14461,+1.25496,+65,+67.8062,+34.2682
2012-01-01 02:55:00 UTC,+3.14347,+1.25518,+65,+67.792,+34.2232
2012-01-01 02:56:00 UTC,+3.14229,+1.25541,+65,+67.7776,+34.1772
2012-01-01 02:57:00 UTC,+3.14109,+1.25564,+65,+67.7632,+34.13
2012-01-01 02:58:00 UTC,+3.13986,+1.25588,+65,+67.7488,+34.0818
2012-01-01 02:59:00 UTC,+3.1386,+1.25612,+65,+67.7343,+34.0324
2012-01-01 03:00:00 UTC,+3.13732,+1.25637,+65,+67.7198,+33.982
2012-01-01 03:01:00 UTC,+3.13454,+1.25691,+65,+67.7052,+33.8729
2012-01-01 03:02:00 UTC,+3.1318,+1.25744,+65,+67.6903,+33.7647
2012-01-01 03:03:00 UTC,+3.12908,+1.25797,+65,+67.6751,+33.6573
2012-01-01 03:04:00 UTC,+3.1264,+1.25849,+65,+67.6596,+33.5508
2012-01-01 03:05:00 UTC,+3.12373,+1.25901,+65,+67.6439,+33.4451
2012-01-01 03:06:00 UTC,+3.1211,+1.25953,+65,+67.6278,+33.3403
2012-01-01 03:07:00 UTC,+3.11849,+1.26004,+65,+67.6114,+33.2363
2012-01-01 03:08:00 UTC,+3.11591,+1.26055,+65,+67.595,+33.1332
2012-01-01 03:09:00 UTC,+3.11335,+1.26105,+65,+67.5784,+33.0309
2012-01-01 03:10:00 UTC,+3.11082,+1.26155,+65,+67.5617,+32.9295
2012-01-01 03:11:00 UTC,+3.10832,+1.26205,+65,+67.545,+32.8289
2012-01-01 03:12:00 UTC,+3.10584,+1.26254,+65,+67.5283,+32.7292
2012-01-01 03:13:00 UTC,+3.10339,+1.26302,+65,+67.5114,+32.6303
2012-01-01 03:14:00 UTC,+3.10096,+1.26351,+65,+67.4946,+32.5323
2012-01-01 03:15:00 UTC,+3.09856,+1.26398,+65,+67.4777,+32.4351
2012-01-01 03:16:00 UTC,+3.09619,+1.26446,+65,+67.4607,+32.3388
2012-01-01 03:17:00 UTC,+3.09384,+1.26493,+65,+67.4437,+32.2433
2012-01-01 03:18:00 UTC,+3.09151,+1.26539,+65,+67.4267,+32.1487
2012-01-01 03:19:00 UTC,+3.08921,+1.26586,+65,+67.4096,+32.0549
2012-01-01 03:20:00 UTC,+3.08694,+1.26631,+65,+67.3925,+31.962
2012-01-01 03:21:00 UTC,+3.08469,+1.26677,+65,+67.3754,+31.8699
2012-01-01 03:22:00 UTC,+3.08246,+1.26722,+65,+67.3582,+31.7787
2012-01-01 03:23:00 UTC,+3.08026,+1.26766,+65,+67.3411,+31.6883
2012-01-01 03:24:00 UTC,+3.07809,+1.2681,+65,+67.3239,+31.5988
2012-01-01 03:25:00 UTC,+3.07593,+1.26854,+65,+67.3066,+31.5101
2012-01-01 03:26:00 UTC,+3.07381,+1.26897,+65,+67.2894,+31.4223
2012-01-01 03:27:00 UTC,+3.0717,+1.2694,+65,+67.2721,+31.3353
2012-01-01 03:28:00 UTC,+3.06962,+1.26982,+65,+67.2548,+31.2492
2012-01-01 03:29:00 UTC,+3.06757,+1.27024,+65,+67.2375,+31.1639
2012-01-01 03:30:00 UTC,+3.06553,+1.27066,+65,+67.2201,+31.0795
2012-01-01 03:31:00 UTC,+3.06352,+1.27107,+65,+67.2028,+30.9959
2012-01-01 03:32:00 UTC,+3.06154,+1.27148,+65,+67.1854,+30.9132
2012-01-01 03:33:00 UTC,+3.05958,+1.27188,+65,+67.168,+30.8313
2012-01-01 03:34:00 UTC,+3.05764,+1.27228,+65,+67.1506,+30.7503
2012-01-01 03:35:00 UTC,+3.05572,+1.27267,+65,+67.1332,+30.6701
2012-01-01 03:36:00 UTC,+3.05383,+1.27306,+65,+67.1157,+30.5908
2012-01-01 03:37:00 UTC,+3.05196,+1.27345,+65,+67.0983,+30.5123
2012-01-01 03:38:00 UTC,+3.05011,+1.27383,+65,+67.0808,+30.4347
2012-01-01 03:39:00 UTC,+3.04829,+1.27421,+65,+67.0633,+30.3579
2012-01-01 03:40:00 UTC,+3.04649,+1.27458,+65,+67.0458,+30.282
2012-01-01 03:41:00 UTC,+3.04471,+1.27495,+65,+67.0283,+30.2069
2012-01-01 03:42:00 UTC,+3.04295,+1.27532,+65,+67.0108,+30.1327
2012-01-01 03:43:00 UTC,+3.04122,+1.27568,+65,+66.9932,+30.0593
2012-01-01 03:44:00 UTC,+3.03951,+1.27604,+65,+66.9757,+29.9868
2012-01-01 03:45:00 UTC,+3.03782,+1.27639,+65,+66.9581,+29.9151
2012-01-01 03:46:00 UTC,+3.03615,+1.27674,+65,+66.9405,+29.8443
2012-01-01 03:47:00 UTC,+3.03451,+1.27708,+65,+66.9229,+29.7743
2012-01-01 03:48:00 UTC,+3.03288,+1.27742,+65,+66.9053,+29.7052
2012-01-01 03:49:00 UTC,+3.03128,+1.27776,+65,+66.8877,+29.6369
2012-01-01 03:50:00 UTC,+3.0297,+1.27809,+65,+66.8701,+29.5695
2012-01-01 03:51:00 UTC,+3.02815,+1.27842,+65,+66.8525,+29.5029
2012-01-01 03:52:00 UTC,+3.02661,+1.27874,+65,+66.8349,+29.4372
2012-01-01 03:53:00 UTC,+3.0251,+1.27906,+65,+66.8173,+29.3723
2012-01-01 03:54:00 UTC,+3.0236,+1.27938,+65,+66.7996,+29.3083
2012-01-01 03:55:00 UTC,+3.02213,+1.27969,+65,+66.782,+29.2451
2012-01-01 03:56:00 UTC,+3.02068,+1.28,+65,+66.7643,+29.1828
2012-01-01 03:57:00 UTC,+3.01926,+1.2803,+65,+66.7467,+29.1213
2012-01-01 03:58:00 UTC,+3.01785,+1.2806,+65,+66.729,+29.0607
2012-01-01 03:59:00 UTC,+3.01646,+1.28089,+65,+66.7114,+29.0009
2012-01-01 04:00:00 UTC,+3.0151,+1.28118,+65,+66.6937,+28.942
2012-01-01 04:01:00 UTC,+3.01413,+1.28139,+65,+66.676,+28.9001
2012-01-01 04:02:00 UTC,+3.01317,+1.28159,+65,+66.6584,+28.8586
2012-01-01 04:03:00 UTC,+3.01222,+1.2818,+65,+66.6409,+28.8173
2012-01-01 04:04:00 UTC,+3.01127,+1.282,+65,+66.6235,+28.7764
2012-01-01 04:05:00 UTC,+3.01033,+1.2822,+65,+66.606,+28.7357
2012-01-01 04:06:00 UTC,+3.0094,+1.2824,+65,+66.5886,+28.6954
2012-01-01 04:07:00 UTC,+3.00848,+1.28259,+65,+66.5708,+28.6553
2012-01-01 04:08:00 UTC,+3.00756,+1.28279,+65,+66.553,+28.6156
2012-01-01 04:09:00 UTC,+3.00666,+1.28298,+65,+66.5353,+28.5761
2012-01-01 04:10:00 UTC,+3.00576,+1.28318,+65,+66.5176,+28.537
2012-01-01 04:11:00 UTC,+3.00486,+1.28337,+65,+66.5,+28.4981
2012-01-01 04:12:00 UTC,+3.00398,+1.28356,+65,+66.4825,+28.4596
2012-01-01 04:13:00 UTC,+3.0031,+1.28375,+65,+66.4649,+28.4213
2012-01-01 04:14:00 UTC,+3.00223,+1.28393,+65,+66.4474,+28.3834
2012-01-01 04:15:00 UTC,+3.00137,+1.28412,+65,+66.43,+28.3457
2012-01-01 04:16:00 UTC,+3.00051,+1.2843,+65,+66.4125,+28.3084
2012-01-01 04:17:00 UTC,+2.99966,+1.28448,+65,+66.3951,+28.2713
2012-01-01 04:18:00 UTC,+2.99882,+1.28466,+65,+66.3776,+28.2346
2012-01-01 04:19:00 UTC,+2.99799,+1.28484,+65,+66.3602,+28.1981
2012-01-01 04:20:00 UTC,+2.99716,+1.28502,+65,+66.3428,+28.162
2012-01-01 04:21:00 UTC,+2.99634,+1.2852,+65,+66.3254,+28.1261
2012-01-01 04:22:00 UTC,+2.99553,+1.28537,+65,+66.308,+28.0906
2012-01-01 04:23:00 UTC,+2.99473,+1.28555,+65,+66.2906,+28.0553
2012-01-01 04:24:00 UTC,+2.99393,+1.28572,+65,+66.2732,+28.0204
2012-01-01 04:25:00 UTC,+2.99314,+1.28589,+65,+66.2558,+27.9857
2012-01-01 04:26:00 UTC,+2.99236,+1.28606,+65,+66.2384,+27.9514
2012-01-01 04:27:00 UTC,+2.99159,+1.28623,+65,+66.221,+27.9173
2012-01-01 04:28:00 UTC,+2.99082,+1.28639,+65,+66.2036,+27.8836
2012-01-01 04:29:00 UTC,+2.99006,+1.28656,+65,+66.1862,+27.8501
2012-01-01 04:30:00 UTC,+2.98931,+1.28672,+65,+66.1688,+27.817
2012-01-01 04:31:00 UTC,+2.98856,+1.28688,+65,+66.1514,+27.7841
2012-01-01 04:32:00 UTC,+2.98782,+1.28704,+65,+66.134,+27.7516
2012-01-01 04:33:00 UTC,+2.98709,+1.2872,+65,+66.1166,+27.7193
2012-01-01 04:34:00 UTC,+2.98637,+1.28736,+65,+66.0993,+27.6874
2012-01-01 04:35:00 UTC,+2.98565,+1.28751,+65,+66.0819,+27.6557
2012-01-01 04:36:00 UTC,+2.98494,+1.28767,+65,+66.0645,+27.6244
2012-01-01 04:37:00 UTC,+2.98424,+1.28782,+65,+66.0471,+27.5933
2012-01-01 04:38:00 UTC,+2.98354,+1.28797,+65,+66.0297,+27.5626
2012-01-01 04:39:00 UTC,+2.98285,+1.28812,+65,+66.0123,+27.5321
2012-01-01 04:40:00 UTC,+2.98217,+1.28827,+65,+65.9949,+27.502
2012-01-01 04:41:00 UTC,+2.9815,+1.28842,+65,+65.9775,+27.4721
2012-01-01 04:42:00 UTC,+2.98083,+1.28856,+65,+65.9601,+27.4426
2012-01-01 04:43:00 UTC,+2.98017,+1.28871,+65,+65.9427,+27.4133
2012-01-01 04:44:00 UTC,+2.97952,+1.28885,+65,+65.9253,+27.3844
2012-01-01 04:45:00 UTC,+2.97887,+1.28899,+65,+65.908,+27.3557
2012-01-01 04:46:00 UTC,+2.97824,+1.28913,+65,+65.8906,+27.3274
2012-01-01 04:47:00 UTC,+2.9776,+1.28927,+65,+65.8732,+27.2993
2012-01-01 04:48:00 UTC,+2.97698,+1.28941,+65,+65.8558,+27.2716
2012-01-01 04:49:00 UTC,+2.97636,+1.28954,+65,+65.8384,+27.2441
2012-01-01 04:50:00 UTC,+2.97575,+1.28967,+65,+65.821,+27.217
2012-01-01 04:51:00 UTC,+2.97515,+1.28981,+65,+65.8037,+27.1901
2012-01-01 04:52:00 UTC,+2.97455,+1.28994,+65,+65.7863,+27.1636
2012-01-01 04:53:00 UTC,+2.97396,+1.29007,+65,+65.7689,+27.1373
2012-01-01 04:54:00 UTC,+2.97338,+1.29019,+65,+65.7515,+27.1114
2012-01-01 04:55:00 UTC,+2.9728,+1.29032,+65,+65.7342,+27.0857
2012-01-01 04:56:00 UTC,+2.97224,+1.29045,+65,+65.7168,+27.0604
2012-01-01 04:57:00 UTC,+2.97167,+1.29057,+65,+65.6995,+27.0353
2012-01-01 04:58:00 UTC,+2.97112,+1.29069,+65,+65.6821,+27.0106
2012-01-01 04:59:00 UTC,+2.97057,+1.29081,+65,+65.6647,+26.9861
2012-01-01 05:00:00 UTC,+2.97003,+1.29093,+65,+65.6474,+26.962
2012-01-01 05:01:00 UTC,+2.96953,+1.29104,+65,+65.6301,+26.9396
2012-01-01 05:02:00 UTC,+2.96903,+1.29115,+65,+65.6127,+26.9175
2012-01-01 05:03:00 UTC,+2.96855,+1.29126,+65,+65.5954,+26.8956
2012-01-01 05:04:00 UTC,+2.96806,+1.29136,+65,+65.5781,+26.874
2012-01-01 05:05:00 UTC,+2.96758,+1.29147,+65,+65.5608,+26.8526
2012-01-01 05:06:00 UTC,+2.96711,+1.29157,+65,+65.5435,+26.8315
2012-01-01 05:07:00 UTC,+2.96665,+1.29168,+65,+65.5268,+26.8106
2012-01-01 05:08:00 UTC,+2.96619,+1.29178,+65,+65.5101,+26.79
2012-01-01 05:09:00 UTC,+2.96573,+1.29188,+65,+65.4933,+26.7696
2012-01-01 05:10:00 UTC,+2.96528,+1.29198,+65,+65.4765,+26.7495
2012-01-01 05:11:00 UTC,+2.96484,+1.29207,+65,+65.4596,+26.7296
2012-01-01 05:12:00 UTC,+2.9644,+1.29217,+65,+65.4427,+26.71
