# file...... out_meter.csv
# date...... Sun Feb 17 16:30:01 2019
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_energy[kWh],measured_power.real[kW]
2012-01-01 00:00:00 UTC,+0,+3.0574
2012-01-01 00:01:00 UTC,+0.0509567,+4.75759
2012-01-01 00:02:00 UTC,+0.13025,+4.75778
2012-01-01 00:03:00 UTC,+0.209546,+4.75796
2012-01-01 00:04:00 UTC,+0.288846,+4.75814
2012-01-01 00:05:00 UTC,+0.368148,+3.2892
2012-01-01 00:06:00 UTC,+0.422968,+3.02157
2012-01-01 00:07:00 UTC,+0.473327,+3.02157
2012-01-01 00:08:00 UTC,+0.523687,+3.02157
2012-01-01 00:09:00 UTC,+0.574046,+3.02157
2012-01-01 00:10:00 UTC,+0.624406,+3.02157
2012-01-01 00:11:00 UTC,+0.674765,+3.02157
2012-01-01 00:12:00 UTC,+0.725125,+3.02157
2012-01-01 00:13:00 UTC,+0.775484,+3.02157
2012-01-01 00:14:00 UTC,+0.825843,+3.02157
2012-01-01 00:15:00 UTC,+0.876203,+3.02157
2012-01-01 00:16:00 UTC,+0.926562,+3.02157
2012-01-01 00:17:00 UTC,+0.976922,+3.02157
2012-01-01 00:18:00 UTC,+1.02728,+3.02157
2012-01-01 00:19:00 UTC,+1.07764,+3.02157
2012-01-01 00:20:00 UTC,+1.128,+3.02157
2012-01-01 00:21:00 UTC,+1.17836,+3.02157
2012-01-01 00:22:00 UTC,+1.22872,+3.02157
2012-01-01 00:23:00 UTC,+1.27908,+3.02157
2012-01-01 00:24:00 UTC,+1.32944,+3.02157
2012-01-01 00:25:00 UTC,+1.3798,+3.02157
2012-01-01 00:26:00 UTC,+1.43016,+3.02157
2012-01-01 00:27:00 UTC,+1.48052,+3.02157
2012-01-01 00:28:00 UTC,+1.53088,+3.02157
2012-01-01 00:29:00 UTC,+1.58124,+3.02157
2012-01-01 00:30:00 UTC,+1.63159,+3.02157
2012-01-01 00:31:00 UTC,+1.68195,+3.02157
2012-01-01 00:32:00 UTC,+1.73231,+3.02157
2012-01-01 00:33:00 UTC,+1.78267,+3.02157
2012-01-01 00:34:00 UTC,+1.83303,+3.02157
2012-01-01 00:35:00 UTC,+1.88339,+3.02157
2012-01-01 00:36:00 UTC,+1.93375,+3.02157
2012-01-01 00:37:00 UTC,+1.98411,+3.02157
2012-01-01 00:38:00 UTC,+2.03447,+3.02157
2012-01-01 00:39:00 UTC,+2.08483,+3.02157
2012-01-01 00:40:00 UTC,+2.13519,+3.02157
2012-01-01 00:41:00 UTC,+2.18555,+3.02157
2012-01-01 00:42:00 UTC,+2.23591,+3.02157
2012-01-01 00:43:00 UTC,+2.28627,+3.02157
2012-01-01 00:44:00 UTC,+2.33663,+3.02157
2012-01-01 00:45:00 UTC,+2.38699,+3.02157
2012-01-01 00:46:00 UTC,+2.43735,+3.02157
2012-01-01 00:47:00 UTC,+2.48771,+3.02157
2012-01-01 00:48:00 UTC,+2.53806,+3.02157
2012-01-01 00:49:00 UTC,+2.58842,+3.02157
2012-01-01 00:50:00 UTC,+2.63878,+3.02157
2012-01-01 00:51:00 UTC,+2.68914,+3.02157
2012-01-01 00:52:00 UTC,+2.7395,+3.02157
2012-01-01 00:53:00 UTC,+2.78986,+3.02157
2012-01-01 00:54:00 UTC,+2.84022,+3.02157
2012-01-01 00:55:00 UTC,+2.89058,+3.02157
2012-01-01 00:56:00 UTC,+2.94094,+3.02157
2012-01-01 00:57:00 UTC,+2.9913,+3.02157
2012-01-01 00:58:00 UTC,+3.04166,+3.02157
2012-01-01 00:59:00 UTC,+3.09202,+3.02157
2012-01-01 01:00:00 UTC,+3.14238,+3.02157
2012-01-01 01:01:00 UTC,+3.19274,+3.02157
2012-01-01 01:02:00 UTC,+3.2431,+3.02157
2012-01-01 01:03:00 UTC,+3.29346,+3.02157
2012-01-01 01:04:00 UTC,+3.34382,+3.02157
2012-01-01 01:05:00 UTC,+3.39418,+3.01261
2012-01-01 01:06:00 UTC,+3.44439,+2.83865
2012-01-01 01:07:00 UTC,+3.4917,+2.83865
2012-01-01 01:08:00 UTC,+3.53901,+2.83865
2012-01-01 01:09:00 UTC,+3.58632,+2.83865
2012-01-01 01:10:00 UTC,+3.63363,+2.83865
2012-01-01 01:11:00 UTC,+3.68094,+2.83865
2012-01-01 01:12:00 UTC,+3.72825,+2.83865
2012-01-01 01:13:00 UTC,+3.77556,+2.83865
2012-01-01 01:14:00 UTC,+3.82287,+2.83865
2012-01-01 01:15:00 UTC,+3.87018,+2.83865
2012-01-01 01:16:00 UTC,+3.91749,+2.83865
2012-01-01 01:17:00 UTC,+3.9648,+2.83865
2012-01-01 01:18:00 UTC,+4.01211,+2.83865
2012-01-01 01:19:00 UTC,+4.05943,+2.83865
2012-01-01 01:20:00 UTC,+4.10674,+2.83865
2012-01-01 01:21:00 UTC,+4.15405,+2.83865
2012-01-01 01:22:00 UTC,+4.20136,+2.83865
2012-01-01 01:23:00 UTC,+4.24867,+2.83865
2012-01-01 01:24:00 UTC,+4.29598,+2.83865
2012-01-01 01:25:00 UTC,+4.34329,+2.83865
2012-01-01 01:26:00 UTC,+4.3906,+2.83865
2012-01-01 01:27:00 UTC,+4.43791,+2.83865
2012-01-01 01:28:00 UTC,+4.48522,+2.83865
2012-01-01 01:29:00 UTC,+4.53253,+2.83865
2012-01-01 01:30:00 UTC,+4.57984,+2.83865
2012-01-01 01:31:00 UTC,+4.62715,+2.83865
2012-01-01 01:32:00 UTC,+4.67447,+2.83865
2012-01-01 01:33:00 UTC,+4.72178,+2.83865
2012-01-01 01:34:00 UTC,+4.76909,+2.83865
2012-01-01 01:35:00 UTC,+4.8164,+2.83865
2012-01-01 01:36:00 UTC,+4.86371,+2.83865
2012-01-01 01:37:00 UTC,+4.91102,+2.83865
2012-01-01 01:38:00 UTC,+4.95833,+2.83865
2012-01-01 01:39:00 UTC,+5.00564,+2.83865
2012-01-01 01:40:00 UTC,+5.05295,+2.83865
2012-01-01 01:41:00 UTC,+5.10026,+2.83865
2012-01-01 01:42:00 UTC,+5.14757,+2.83865
2012-01-01 01:43:00 UTC,+5.19488,+2.83865
2012-01-01 01:44:00 UTC,+5.24219,+2.83865
2012-01-01 01:45:00 UTC,+5.28951,+2.83865
2012-01-01 01:46:00 UTC,+5.33682,+2.83865
2012-01-01 01:47:00 UTC,+5.38413,+2.83865
2012-01-01 01:48:00 UTC,+5.43144,+2.83865
2012-01-01 01:49:00 UTC,+5.47875,+2.83865
2012-01-01 01:50:00 UTC,+5.52606,+2.83865
2012-01-01 01:51:00 UTC,+5.57337,+2.83865
2012-01-01 01:52:00 UTC,+5.62068,+2.83865
2012-01-01 01:53:00 UTC,+5.66799,+2.83865
2012-01-01 01:54:00 UTC,+5.7153,+2.83865
2012-01-01 01:55:00 UTC,+5.76261,+2.83865
2012-01-01 01:56:00 UTC,+5.80992,+2.83865
2012-01-01 01:57:00 UTC,+5.85723,+2.83865
2012-01-01 01:58:00 UTC,+5.90454,+2.83865
2012-01-01 01:59:00 UTC,+5.95186,+2.83865
2012-01-01 02:00:00 UTC,+5.99917,+2.83865
2012-01-01 02:01:00 UTC,+6.04648,+2.83865
2012-01-01 02:02:00 UTC,+6.09379,+2.83865
2012-01-01 02:03:00 UTC,+6.1411,+2.83865
2012-01-01 02:04:00 UTC,+6.18841,+2.83865
2012-01-01 02:05:00 UTC,+6.23572,+2.82665
2012-01-01 02:06:00 UTC,+6.28283,+2.73379
