# file...... out_waterheater.csv
# date...... Sun Feb 17 16:30:01 2019
# user...... dpinney
# host...... (null)
# target.... waterheater 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power.real[kW],temperature[degF]
2012-01-01 00:00:00 UTC,+0,+130
2012-01-01 00:01:00 UTC,+0,+129.991
2012-01-01 00:02:00 UTC,+0,+129.982
2012-01-01 00:03:00 UTC,+0,+129.973
2012-01-01 00:04:00 UTC,+0,+129.964
2012-01-01 00:05:00 UTC,+0,+129.955
2012-01-01 00:06:00 UTC,+0,+129.946
2012-01-01 00:07:00 UTC,+0,+129.937
2012-01-01 00:08:00 UTC,+0,+129.928
2012-01-01 00:09:00 UTC,+0,+129.919
2012-01-01 00:10:00 UTC,+0,+129.911
2012-01-01 00:11:00 UTC,+0,+129.902
2012-01-01 00:12:00 UTC,+0,+129.893
2012-01-01 00:13:00 UTC,+0,+129.884
2012-01-01 00:14:00 UTC,+0,+129.875
2012-01-01 00:15:00 UTC,+0,+129.866
2012-01-01 00:16:00 UTC,+0,+129.857
2012-01-01 00:17:00 UTC,+0,+129.848
2012-01-01 00:18:00 UTC,+0,+129.839
2012-01-01 00:19:00 UTC,+0,+129.83
2012-01-01 00:20:00 UTC,+0,+129.822
2012-01-01 00:21:00 UTC,+0,+129.813
2012-01-01 00:22:00 UTC,+0,+129.804
2012-01-01 00:23:00 UTC,+0,+129.795
2012-01-01 00:24:00 UTC,+0,+129.786
2012-01-01 00:25:00 UTC,+0,+129.777
2012-01-01 00:26:00 UTC,+0,+129.768
2012-01-01 00:27:00 UTC,+0,+129.759
2012-01-01 00:28:00 UTC,+0,+129.75
2012-01-01 00:29:00 UTC,+0,+129.742
2012-01-01 00:30:00 UTC,+0,+129.733
2012-01-01 00:31:00 UTC,+0,+129.724
2012-01-01 00:32:00 UTC,+0,+129.715
2012-01-01 00:33:00 UTC,+0,+129.706
2012-01-01 00:34:00 UTC,+0,+129.697
2012-01-01 00:35:00 UTC,+0,+129.688
2012-01-01 00:36:00 UTC,+0,+129.679
2012-01-01 00:37:00 UTC,+0,+129.671
2012-01-01 00:38:00 UTC,+0,+129.662
2012-01-01 00:39:00 UTC,+0,+129.653
2012-01-01 00:40:00 UTC,+0,+129.644
2012-01-01 00:41:00 UTC,+0,+129.635
2012-01-01 00:42:00 UTC,+0,+129.626
2012-01-01 00:43:00 UTC,+0,+129.617
2012-01-01 00:44:00 UTC,+0,+129.608
2012-01-01 00:45:00 UTC,+0,+129.599
2012-01-01 00:46:00 UTC,+0,+129.591
2012-01-01 00:47:00 UTC,+0,+129.582
2012-01-01 00:48:00 UTC,+0,+129.573
2012-01-01 00:49:00 UTC,+0,+129.564
2012-01-01 00:50:00 UTC,+0,+129.555
2012-01-01 00:51:00 UTC,+0,+129.546
2012-01-01 00:52:00 UTC,+0,+129.537
2012-01-01 00:53:00 UTC,+0,+129.528
2012-01-01 00:54:00 UTC,+0,+129.519
2012-01-01 00:55:00 UTC,+0,+129.511
2012-01-01 00:56:00 UTC,+0,+129.502
2012-01-01 00:57:00 UTC,+0,+129.493
2012-01-01 00:58:00 UTC,+0,+129.484
2012-01-01 00:59:00 UTC,+0,+129.475
2012-01-01 01:00:00 UTC,+0,+129.466
2012-01-01 01:01:00 UTC,+0,+129.457
2012-01-01 01:02:00 UTC,+0,+129.448
2012-01-01 01:03:00 UTC,+0,+129.439
2012-01-01 01:04:00 UTC,+0,+129.43
2012-01-01 01:05:00 UTC,+0,+129.422
2012-01-01 01:06:00 UTC,+0,+129.413
2012-01-01 01:07:00 UTC,+0,+129.404
2012-01-01 01:08:00 UTC,+0,+129.395
2012-01-01 01:09:00 UTC,+0,+129.386
2012-01-01 01:10:00 UTC,+0,+129.377
2012-01-01 01:11:00 UTC,+0,+129.368
2012-01-01 01:12:00 UTC,+0,+129.359
2012-01-01 01:13:00 UTC,+0,+129.35
2012-01-01 01:14:00 UTC,+0,+129.341
2012-01-01 01:15:00 UTC,+0,+129.332
2012-01-01 01:16:00 UTC,+0,+129.324
2012-01-01 01:17:00 UTC,+0,+129.315
2012-01-01 01:18:00 UTC,+0,+129.306
2012-01-01 01:19:00 UTC,+0,+129.297
2012-01-01 01:20:00 UTC,+0,+129.288
2012-01-01 01:21:00 UTC,+0,+129.279
2012-01-01 01:22:00 UTC,+0,+129.27
2012-01-01 01:23:00 UTC,+0,+129.261
2012-01-01 01:24:00 UTC,+0,+129.252
2012-01-01 01:25:00 UTC,+0,+129.243
2012-01-01 01:26:00 UTC,+0,+129.234
2012-01-01 01:27:00 UTC,+0,+129.226
2012-01-01 01:28:00 UTC,+0,+129.217
2012-01-01 01:29:00 UTC,+0,+129.208
2012-01-01 01:30:00 UTC,+0,+129.199
2012-01-01 01:31:00 UTC,+0,+129.19
2012-01-01 01:32:00 UTC,+0,+129.181
2012-01-01 01:33:00 UTC,+0,+129.172
2012-01-01 01:34:00 UTC,+0,+129.163
2012-01-01 01:35:00 UTC,+0,+129.154
2012-01-01 01:36:00 UTC,+0,+129.145
2012-01-01 01:37:00 UTC,+0,+129.136
2012-01-01 01:38:00 UTC,+0,+129.127
2012-01-01 01:39:00 UTC,+0,+129.119
2012-01-01 01:40:00 UTC,+0,+129.11
2012-01-01 01:41:00 UTC,+0,+129.101
2012-01-01 01:42:00 UTC,+0,+129.092
2012-01-01 01:43:00 UTC,+0,+129.083
2012-01-01 01:44:00 UTC,+0,+129.074
2012-01-01 01:45:00 UTC,+0,+129.065
2012-01-01 01:46:00 UTC,+0,+129.056
2012-01-01 01:47:00 UTC,+0,+129.047
2012-01-01 01:48:00 UTC,+0,+129.038
2012-01-01 01:49:00 UTC,+0,+129.029
2012-01-01 01:50:00 UTC,+0,+129.02
2012-01-01 01:51:00 UTC,+0,+129.011
2012-01-01 01:52:00 UTC,+0,+129.003
2012-01-01 01:53:00 UTC,+0,+128.994
2012-01-01 01:54:00 UTC,+0,+128.985
2012-01-01 01:55:00 UTC,+0,+128.976
2012-01-01 01:56:00 UTC,+0,+128.967
2012-01-01 01:57:00 UTC,+0,+128.958
2012-01-01 01:58:00 UTC,+0,+128.949
2012-01-01 01:59:00 UTC,+0,+128.94
2012-01-01 02:00:00 UTC,+0,+128.931
2012-01-01 02:01:00 UTC,+0,+128.922
2012-01-01 02:02:00 UTC,+0,+128.913
2012-01-01 02:03:00 UTC,+0,+128.904
2012-01-01 02:04:00 UTC,+0,+128.895
2012-01-01 02:05:00 UTC,+0,+128.886
2012-01-01 02:06:00 UTC,+0,+128.878
2012-01-01 02:07:00 UTC,+0,+128.869
2012-01-01 02:08:00 UTC,+0,+128.86
2012-01-01 02:09:00 UTC,+0,+128.851
2012-01-01 02:10:00 UTC,+0,+128.842
2012-01-01 02:11:00 UTC,+0,+128.833
2012-01-01 02:12:00 UTC,+0,+128.824
2012-01-01 02:13:00 UTC,+0,+128.815
2012-01-01 02:14:00 UTC,+0,+128.806
2012-01-01 02:15:00 UTC,+0,+128.797
2012-01-01 02:16:00 UTC,+0,+128.788
2012-01-01 02:17:00 UTC,+0,+128.779
2012-01-01 02:18:00 UTC,+0,+128.77
2012-01-01 02:19:00 UTC,+0,+128.761
2012-01-01 02:20:00 UTC,+0,+128.752
2012-01-01 02:21:00 UTC,+0,+128.743
2012-01-01 02:22:00 UTC,+0,+128.734
2012-01-01 02:23:00 UTC,+0,+128.726
2012-01-01 02:24:00 UTC,+0,+128.717
2012-01-01 02:25:00 UTC,+0,+128.708
2012-01-01 02:26:00 UTC,+0,+128.699
2012-01-01 02:27:00 UTC,+0,+128.69
2012-01-01 02:28:00 UTC,+0,+128.681
2012-01-01 02:29:00 UTC,+0,+128.672
2012-01-01 02:30:00 UTC,+0,+128.663
2012-01-01 02:31:00 UTC,+0,+128.654
2012-01-01 02:32:00 UTC,+0,+128.645
2012-01-01 02:33:00 UTC,+0,+128.636
2012-01-01 02:34:00 UTC,+0,+128.627
2012-01-01 02:35:00 UTC,+0,+128.618
2012-01-01 02:36:00 UTC,+0,+128.609
2012-01-01 02:37:00 UTC,+0,+128.6
2012-01-01 02:38:00 UTC,+0,+128.591
2012-01-01 02:39:00 UTC,+0,+128.582
2012-01-01 02:40:00 UTC,+0,+128.573
2012-01-01 02:41:00 UTC,+0,+128.564
2012-01-01 02:42:00 UTC,+0,+128.555
2012-01-01 02:43:00 UTC,+0,+128.546
2012-01-01 02:44:00 UTC,+0,+128.538
2012-01-01 02:45:00 UTC,+0,+128.529
2012-01-01 02:46:00 UTC,+0,+128.52
2012-01-01 02:47:00 UTC,+0,+128.511
2012-01-01 02:48:00 UTC,+0,+128.502
2012-01-01 02:49:00 UTC,+0,+128.493
2012-01-01 02:50:00 UTC,+0,+128.484
2012-01-01 02:51:00 UTC,+0,+128.475
2012-01-01 02:52:00 UTC,+0,+128.466
2012-01-01 02:53:00 UTC,+0,+128.457
2012-01-01 02:54:00 UTC,+0,+128.448
2012-01-01 02:55:00 UTC,+0,+128.439
2012-01-01 02:56:00 UTC,+0,+128.43
2012-01-01 02:57:00 UTC,+0,+128.421
2012-01-01 02:58:00 UTC,+0,+128.412
2012-01-01 02:59:00 UTC,+0,+128.403
2012-01-01 03:00:00 UTC,+0,+128.394
2012-01-01 03:01:00 UTC,+0,+128.385
2012-01-01 03:02:00 UTC,+0,+128.376
2012-01-01 03:03:00 UTC,+0,+128.367
2012-01-01 03:04:00 UTC,+0,+128.358
2012-01-01 03:05:00 UTC,+0,+128.349
2012-01-01 03:06:00 UTC,+0,+128.34
2012-01-01 03:07:00 UTC,+0,+128.331
2012-01-01 03:08:00 UTC,+0,+128.322
2012-01-01 03:09:00 UTC,+0,+128.313
2012-01-01 03:10:00 UTC,+0,+128.304
